0.991911, 0.005732, 0.002357        130.000000, 412.000000, -0.500322
0.975164, 0.023203, 0.001633        131.000000, 409.000000, -0.501295
0.982727, 0.016690, 0.000583        131.000000, 410.000000, -0.500930
0.989390, 0.010139, 0.000471        131.000000, 411.000000, -0.500565
0.950861, 0.047185, 0.001955        132.000000, 405.000000, -0.502633
0.958368, 0.040726, 0.000906        132.000000, 406.000000, -0.502268
0.965624, 0.034230, 0.000146        132.000000, 407.000000, -0.501904
0.971140, 0.027660, 0.001201        132.000000, 408.000000, -0.501539
0.976655, 0.021089, 0.002255        132.000000, 409.000000, -0.501173
0.982171, 0.014519, 0.003310        132.000000, 410.000000, -0.500809
0.987686, 0.007949, 0.004364        132.000000, 411.000000, -0.500444
0.926589, 0.071135, 0.002276        133.000000, 401.000000, -0.503972
0.934040, 0.064731, 0.001229        133.000000, 402.000000, -0.503607
0.941523, 0.058299, 0.000178        133.000000, 403.000000, -0.503242
0.947374, 0.051750, 0.000876        133.000000, 404.000000, -0.502877
0.952889, 0.045180, 0.001931        133.000000, 405.000000, -0.502512
0.958405, 0.038610, 0.002985        133.000000, 406.000000, -0.502147
0.963921, 0.032040, 0.004040        133.000000, 407.000000, -0.501782
0.969436, 0.025469, 0.005094        133.000000, 408.000000, -0.501417
0.974952, 0.018899, 0.006149        133.000000, 409.000000, -0.501052
0.980467, 0.012329, 0.007203        133.000000, 410.000000, -0.500687
0.985983, 0.005759, 0.008258        133.000000, 411.000000, -0.500322
0.909744, 0.088704, 0.001552        134.000000, 398.000000, -0.504945
0.917170, 0.082328, 0.000502        134.000000, 399.000000, -0.504580
0.923608, 0.075840, 0.000552        134.000000, 400.000000, -0.504215
0.929123, 0.069270, 0.001607        134.000000, 401.000000, -0.503850
0.934639, 0.062700, 0.002661        134.000000, 402.000000, -0.503485
0.940155, 0.056130, 0.003715        134.000000, 403.000000, -0.503120
0.945670, 0.049560, 0.004770        134.000000, 404.000000, -0.502755
0.951186, 0.042990, 0.005824        134.000000, 405.000000, -0.502390
0.956702, 0.036420, 0.006879        134.000000, 406.000000, -0.502025
0.962217, 0.029850, 0.007933        134.000000, 407.000000, -0.501660
0.967733, 0.023279, 0.008988        134.000000, 408.000000, -0.501295
0.973248, 0.016709, 0.010042        134.000000, 409.000000, -0.500930
0.978764, 0.010139, 0.011097        134.000000, 410.000000, -0.500565
0.885478, 0.112647, 0.001874        135.000000, 394.000000, -0.506283
0.892849, 0.106325, 0.000825        135.000000, 395.000000, -0.505918
0.899842, 0.099931, 0.000228        135.000000, 396.000000, -0.505553
0.905357, 0.093361, 0.001282        135.000000, 397.000000, -0.505188
0.910873, 0.086791, 0.002336        135.000000, 398.000000, -0.504823
0.916389, 0.080220, 0.003391        135.000000, 399.000000, -0.504458
0.921904, 0.073650, 0.004445        135.000000, 400.000000, -0.504093
0.927420, 0.067080, 0.005500        135.000000, 401.000000, -0.503728
0.932936, 0.060510, 0.006554        135.000000, 402.000000, -0.503363
0.938451, 0.053940, 0.007609        135.000000, 403.000000, -0.502998
0.943967, 0.047370, 0.008663        135.000000, 404.000000, -0.502634
0.949483, 0.040800, 0.009718        135.000000, 405.000000, -0.502268
0.954998, 0.034230, 0.010772        135.000000, 406.000000, -0.501904
0.960514, 0.027660, 0.011827        135.000000, 407.000000, -0.501538
0.966030, 0.021089, 0.012881        135.000000, 408.000000, -0.501174
0.971545, 0.014519, 0.013936        135.000000, 409.000000, -0.500809
0.977061, 0.007949, 0.014990        135.000000, 410.000000, -0.500444
0.861245, 0.136559, 0.002196        136.000000, 390.000000, -0.507622
0.868560, 0.130291, 0.001149        136.000000, 391.000000, -0.507257
0.875906, 0.123997, 0.000097        136.000000, 392.000000, -0.506892
0.881591, 0.117451, 0.000958        136.000000, 393.000000, -0.506527
0.887107, 0.110881, 0.002012        136.000000, 394.000000, -0.506162
